,LOAD_TIME,FFP_DATE,LAST_TO_END,FLIGHT_COUNT,avg_discount,SEG_KM_SUM,LAST_TO_END,P1Y_Flight_Count,L1Y_Flight_Count
71,2014/03/31,2009/10/19,19,64,1.236256939,137636,19,22,42
72,2014/03/31,2011/12/21,4,149,0.774487057,219108,4,68,81
73,2014/03/31,2007/11/18,13,61,1.183962818,143186,13,23,38
74,2014/03/31,2010/10/13,36,36,0.8061770690000001,209839,36,15,21
75,2014/03/31,2010/08/14,22,22,0.992454374,170406,22,6,16
76,2014/03/31,2013/03/15,29,23,0.995539285,169224,29,4,19
77,2014/03/31,2011/06/09,18,16,1.019520072,163191,18,6,10
78,2014/03/31,2010/10/26,8,102,1.179368992,140220,8,41,61
79,2014/03/31,2005/10/21,6,81,1.034587737,159255,6,43,38
80,2014/03/31,2012/06/29,6,30,0.782406571,208687,6,7,23
81,2014/03/31,2006/07/13,12,127,0.956332827,170611,12,53,74
82,2014/03/31,2008/09/19,2,56,1.394863786,116728,2,22,34
83,2014/03/31,2012/04/25,1,79,0.777341772,208797,1,34,45
84,2014/03/31,2005/02/17,9,97,1.036667137,155881,9,42,55
85,2014/03/31,2004/11/18,2,158,0.784701427,205159,2,77,81
86,2014/03/31,2006/05/08,7,64,1.3912993059999998,115300,7,31,33
87,2014/03/31,2010/07/03,13,51,1.165835855,137500,13,26,25
88,2014/03/31,2007/06/28,144,29,1.0178590440000002,157056,144,17,12
89,2014/03/31,2007/10/05,1,69,1.3874902919999998,114077,1,34,35
90,2014/03/31,2008/06/13,15,88,1.281481989,122619,15,27,61
91,2014/03/31,2011/01/31,15,42,0.966069448,162453,15,4,38
92,2014/03/31,2007/01/26,10,129,1.429138536,109813,10,67,62
93,2014/03/31,2006/11/28,14,67,1.265322199,123464,14,32,35
94,2014/03/31,2010/04/13,53,12,1.059166667,146784,53,1,11
95,2014/03/31,2004/11/26,4,100,0.952273652,162250,4,44,56
96,2014/03/31,2005/09/23,11,69,1.297050351,118726,11,35,34
97,2014/03/31,2011/04/14,34,17,1.226505277,125349,34,7,10
98,2014/03/31,2004/11/11,9,12,1.046666667,146784,9,7,5
99,2014/03/31,2012/04/27,4,54,1.053910364,144562,4,34,20
100,2014/03/31,2008/07/28,21,79,1.228445376,123985,21,39,40
101,2014/03/31,2008/09/08,5,87,1.4454897780000002,105119,5,43,44
102,2014/03/31,2012/04/28,17,53,1.046215562,144682,17,30,23
103,2014/03/31,2007/01/03,17,92,1.118316089,134823,17,46,46
104,2014/03/31,2010/05/26,11,48,1.001144569,150537,11,23,25
105,2014/03/31,2005/10/22,3,90,1.390945611,108184,3,46,44
106,2014/03/31,2009/01/18,9,56,1.435274261,104663,9,29,27
107,2014/03/31,2005/04/05,4,146,0.7832398290000001,191328,4,74,72
108,2014/03/31,2011/09/14,15,35,0.894261083,167150,15,20,15
109,2014/03/31,2011/10/09,63,33,0.85318887,174046,63,23,10
110,2014/03/31,2005/08/26,7,142,0.835532119,177357,7,59,83
111,2014/03/31,2010/11/17,44,31,0.723434195,204438,44,11,20
112,2014/03/31,2006/11/28,29,53,1.434114409,102999,29,29,24
113,2014/03/31,2007/05/31,14,21,0.925114251,159605,14,10,11
114,2014/03/31,2012/06/07,27,16,0.75375,195712,27,6,10
115,2014/03/31,2004/11/25,3,85,0.946174922,155704,3,37,48
116,2014/03/31,2004/11/24,22,71,1.225504039,119961,22,33,38
117,2014/03/31,2008/08/23,2,130,0.873661907,167593,2,50,80
118,2014/03/31,2010/05/07,4,89,0.978068228,149557,4,37,52
119,2014/03/31,2005/07/29,11,83,1.411593411,103087,11,30,53
120,2014/03/31,2004/12/02,2,99,0.8969661870000001,162215,2,44,55
121,2014/03/31,2005/03/16,27,40,0.731685018,198627,27,18,22
122,2014/03/31,2008/05/30,11,52,1.458000784,99524,11,25,27
123,2014/03/31,2005/12/29,10,65,1.210876087,119794,10,26,39
124,2014/03/31,2005/04/23,3,34,0.951756044,151642,3,15,19
125,2014/03/31,2006/08/14,6,83,0.960765569,149993,6,32,51
126,2014/03/31,2011/11/14,24,65,1.318943707,109089,24,27,38
127,2014/03/31,2012/12/20,23,18,0.982511386,146238,23,3,15
128,2014/03/31,2007/06/08,4,66,1.39722054,102689,4,29,37
129,2014/03/31,2006/04/17,2,52,1.3569867919999998,105167,2,21,31
130,2014/03/31,2011/03/15,38,27,0.780547269,182561,38,16,11
131,2014/03/31,2004/11/30,1,193,0.6756097790000001,209912,1,104,89
132,2014/03/31,2012/06/26,6,65,0.764,184730,6,0,65
133,2014/03/31,2012/04/11,59,14,0.97367319,144708,59,9,5
134,2014/03/31,2009/10/19,11,24,0.658633893,213058,11,9,15
135,2014/03/31,2010/10/09,17,89,0.787337009,177556,17,39,50
136,2014/03/31,2008/06/20,8,57,1.42497258,98104,8,23,34
137,2014/03/31,2009/11/13,12,101,0.996902945,140188,12,52,49
138,2014/03/31,2013/03/03,16,19,0.897522308,155552,16,2,17
139,2014/03/31,2006/06/29,24,95,0.988949912,140931,24,62,33
140,2014/03/31,2008/04/01,7,85,1.423453171,97855,7,43,42
141,2014/03/31,2004/11/24,22,108,0.8176859540000001,169746,22,59,49
142,2014/03/31,2004/11/26,4,64,1.426656247,97250,4,28,36
143,2014/03/31,2005/04/02,3,113,0.6743815809999999,204853,3,47,66
144,2014/03/31,2009/08/27,1,31,1.438600025,95766,1,14,17
145,2014/03/31,2005/11/16,5,79,1.065611103,129119,5,35,44
146,2014/03/31,2012/05/02,17,109,0.843554751,163010,17,55,54
147,2014/03/31,2009/03/29,18,19,0.681331859,201613,18,11,8
148,2014/03/31,2009/06/04,25,120,0.7902875509999999,172352,25,55,65
149,2014/03/31,2006/04/15,1,45,1.154155854,116917,1,19,26
150,2014/03/31,2007/05/08,135,19,0.988910129,136374,135,14,5
151,2014/03/31,2010/05/27,184,22,0.993493225,135717,184,14,8
152,2014/03/31,2009/12/27,15,80,1.277942503,105118,15,39,41
153,2014/03/31,2006/12/25,6,82,1.255920537,106666,6,34,48
154,2014/03/31,2010/08/08,12,90,0.744693267,179472,12,38,52
155,2014/03/31,2010/08/06,157,17,0.931991388,143287,157,11,6
156,2014/03/31,2006/09/15,9,39,1.374724556,97116,9,27,12
157,2014/03/31,2008/05/05,11,102,1.295748779,102961,11,43,59
158,2014/03/31,2004/11/24,11,90,0.8431856670000001,158149,11,50,40
159,2014/03/31,2005/01/22,7,125,0.75433474,176585,7,55,70
160,2014/03/31,2007/02/07,23,77,1.414713624,94142,23,33,44
161,2014/03/31,2004/12/07,6,79,0.843179595,157844,6,53,26
162,2014/03/31,2006/11/09,13,116,0.802227557,165365,13,49,67
163,2014/03/31,2011/01/19,15,58,1.448642081,91515,15,30,28
164,2014/03/31,2006/07/23,8,109,0.914492693,144321,8,48,61
165,2014/03/31,2006/07/10,9,180,0.720028487,182540,9,90,90
166,2014/03/31,2010/01/13,1,103,0.602317149,218087,1,42,61
167,2014/03/31,2005/01/19,8,107,0.841613512,155834,8,52,55
168,2014/03/31,2011/03/30,121,14,1.040394289,125796,121,9,5
169,2014/03/31,2010/02/12,2,149,0.836742487,155588,2,78,71
170,2014/03/31,2011/09/13,49,76,1.380177417,94185,49,45,31
171,2014/03/31,2007/02/10,3,55,1.369523774,94577,3,31,24
172,2014/03/31,2011/09/21,4,80,1.407186108,92022,4,38,42
173,2014/03/31,2005/01/23,16,40,0.926317142,139742,16,16,24
174,2014/03/31,2006/01/15,7,142,0.702883928,183472,7,73,69
175,2014/03/31,2013/03/16,23,14,1.016463224,126850,23,0,14
176,2014/03/31,2011/02/25,30,24,1.026238631,125340,30,4,20
177,2014/03/31,2011/05/12,18,13,1.014545871,126495,18,4,9
178,2014/03/31,2006/12/06,2,85,0.843447435,151736,2,31,54
179,2014/03/31,2005/03/02,3,68,1.085817147,117537,3,31,37
180,2014/03/31,2005/03/31,8,116,0.786706177,161730,8,63,53
181,2014/03/31,2012/04/09,2,123,1.419099832,89350,2,56,67
182,2014/03/31,2007/04/04,17,47,1.389867279,91018,17,14,33
183,2014/03/31,2010/08/08,95,14,1.022610665,123662,95,7,7
184,2014/03/31,2006/06/20,107,49,1.394936204,90602,107,34,15
185,2014/03/31,2005/05/27,2,86,0.799002655,157799,2,35,51
186,2014/03/31,2008/02/18,11,60,1.182681834,106278,11,39,21
187,2014/03/31,2005/07/24,4,110,0.7509068409999999,166843,4,59,51
188,2014/03/31,2010/08/10,179,15,0.681333333,183480,179,11,4
189,2014/03/31,2005/03/20,2,67,1.046676247,119347,2,36,31
190,2014/03/31,2010/02/13,1,51,1.259950118,99034,1,13,38
191,2014/03/31,2010/05/17,69,74,1.289827497,96520,69,41,33
192,2014/03/31,2010/09/18,27,12,1.023333333,121632,27,7,5
193,2014/03/31,2009/11/01,6,59,1.461263576,85171,6,30,29
194,2014/03/31,2009/08/27,18,120,0.701123814,176951,18,48,72
195,2014/03/31,2008/09/02,3,60,1.40060309,88428,3,19,41
196,2014/03/31,2006/06/05,1,57,1.366744227,90553,1,9,48
197,2014/03/31,2011/12/18,57,43,0.631640227,195034,57,21,22
198,2014/03/31,2008/04/20,2,113,0.81511929,151060,2,59,54
199,2014/03/31,2005/05/01,23,42,0.743348652,165589,23,22,20
200,2014/03/31,2005/04/27,16,58,1.299097235,94554,16,31,27
201,2014/03/31,2005/10/12,30,16,0.66544855,184227,30,5,11
202,2014/03/31,2004/11/23,18,122,0.68017726,180074,18,56,66
203,2014/03/31,2005/05/29,6,72,1.343311285,91164,6,26,46
204,2014/03/31,2009/11/13,10,113,1.008554047,121394,10,59,54
205,2014/03/31,2005/08/02,2,77,0.7772353470000001,157206,2,35,42
206,2014/03/31,2008/12/13,10,57,1.332451177,91658,10,31,26
207,2014/03/31,2012/01/04,13,16,1.057235119,115401,13,7,9
208,2014/03/31,2009/05/08,9,77,0.803643702,151637,9,30,47
209,2014/03/31,2005/01/20,3,88,1.039534044,117157,3,42,46
210,2014/03/31,2007/05/27,51,13,0.884236795,137604,51,9,4
211,2014/03/31,2005/05/20,3,124,1.070194781,113615,3,64,60
212,2014/03/31,2005/11/17,31,69,0.823818121,147549,31,36,33
213,2014/03/31,2008/02/26,1,66,1.406350341,86430,1,42,24
214,2014/03/31,2010/12/01,102,26,0.6793056709999999,178921,102,19,7
215,2014/03/31,2009/08/01,4,59,1.273062688,94946,4,26,33
216,2014/03/31,2007/06/04,1,125,0.6379945770000001,189177,1,52,73
217,2014/03/31,2009/03/14,11,97,0.701652637,171544,11,56,41
218,2014/03/31,2006/01/25,3,57,0.832500467,144505,3,28,29
219,2014/03/31,2011/01/04,5,64,0.457967364,262290,5,4,60
220,2014/03/31,2004/12/24,114,49,1.3509114430000002,88903,114,35,14
221,2014/03/31,2007/09/17,2,58,1.423312271,84353,2,27,31
222,2014/03/31,2005/04/06,5,136,0.82433441,145540,5,49,87
223,2014/03/31,2010/12/17,4,68,0.8048453440000001,148879,4,32,36
224,2014/03/31,2008/02/11,4,71,0.664729007,180226,4,20,51
225,2014/03/31,2006/11/01,16,116,0.916310894,130636,16,63,53
226,2014/03/31,2007/05/28,1,110,0.6930268190000001,172640,1,30,80
227,2014/03/31,2008/07/21,12,105,0.823284201,145253,12,51,54
228,2014/03/31,2009/03/03,21,52,1.433468257,83356,21,29,23
229,2014/03/31,2005/06/16,3,106,0.714441235,167199,3,51,55
230,2014/03/31,2005/04/17,178,11,1.065035317,112128,178,5,6
231,2014/03/31,2010/04/28,13,59,1.283990608,92635,13,35,24
232,2014/03/31,2007/11/29,18,59,0.817583423,145433,18,26,33
233,2014/03/31,2006/01/16,26,83,1.254728561,94441,26,36,47
234,2014/03/31,2012/05/08,317,10,0.966,122320,317,8,2
235,2014/03/31,2008/08/31,1,116,0.8661216490000001,136228,1,61,55
236,2014/03/31,2005/04/19,2,95,0.849043083,138873,2,61,34
237,2014/03/31,2011/08/20,6,79,0.7788971640000001,151183,6,26,53
238,2014/03/31,2006/03/28,7,76,1.367977249,86061,7,44,32
239,2014/03/31,2007/07/14,1,100,1.282347182,91727,1,40,60
240,2014/03/31,2004/11/20,1,107,0.7108682190000001,165304,1,48,59
241,2014/03/31,2006/02/02,290,25,1.074683178,109336,290,20,5
242,2014/03/31,2008/06/01,13,114,0.774562836,151625,13,55,59
243,2014/03/31,2010/03/10,9,57,1.3949203140000002,84080,9,21,36
244,2014/03/31,2007/01/09,22,76,0.98076627,119514,22,33,43
245,2014/03/31,2012/10/17,99,11,1.05,111496,99,5,6
246,2014/03/31,2006/04/11,30,43,1.240551283,94144,30,18,25
247,2014/03/31,2011/02/22,22,20,0.7845195429999999,148827,22,8,12
248,2014/03/31,2007/06/17,32,53,1.373478,85000,32,19,34
249,2014/03/31,2005/09/09,4,56,1.403768453,82981,4,28,28
250,2014/03/31,2011/09/28,2,84,0.827823318,140535,2,42,42
251,2014/03/31,2008/03/15,6,111,0.819703519,141864,6,37,74
252,2014/03/31,2011/05/30,18,109,0.921339098,126167,18,53,56
253,2014/03/31,2006/03/02,5,60,1.175007596,98083,5,34,26
254,2014/03/31,2010/07/25,3,61,0.713012031,161499,3,24,37
255,2014/03/31,2008/08/28,9,43,1.231469603,93447,9,14,29
256,2014/03/31,2006/12/07,5,149,0.724336929,157683,5,67,82
257,2014/03/31,2010/10/20,4,43,1.020765158,111807,4,9,34
258,2014/03/31,2010/04/25,83,56,0.995827664,114358,83,34,22
259,2014/03/31,2005/11/15,3,94,1.040933738,109142,3,43,51
260,2014/03/31,2005/08/30,13,84,0.811427392,139338,13,45,39
261,2014/03/31,2012/07/20,9,16,1.051401627,107047,9,2,14
262,2014/03/31,2006/01/24,17,128,0.856878118,131315,17,61,67
263,2014/03/31,2006/10/26,2,124,0.8600265340000001,130776,2,62,62
264,2014/03/31,2011/01/28,4,111,0.8591966129999999,130622,4,50,61
265,2014/03/31,2009/07/09,1,77,0.832180765,134838,1,31,46
266,2014/03/31,2006/04/02,22,42,1.4360421369999998,77936,22,24,18
267,2014/03/31,2009/11/02,1,124,0.695089955,160524,1,48,76
268,2014/03/31,2011/07/25,6,19,1.156085303,96503,6,10,9
269,2014/03/31,2010/08/28,45,53,0.828407972,134627,45,32,21
270,2014/03/31,2011/06/01,1,61,1.337276713,83245,1,26,35
271,2014/03/31,2009/12/12,1,17,1.056396083,105377,1,5,12
272,2014/03/31,2011/08/28,4,48,0.934725209,119036,4,17,31
273,2014/03/31,2006/10/13,22,26,1.178456641,94249,22,8,18
274,2014/03/31,2006/03/11,31,43,1.3955870869999998,79426,31,20,23
275,2014/03/31,2009/08/07,61,87,0.962306964,115134,61,40,47
276,2014/03/31,2010/05/22,1,114,0.889901525,124499,1,47,67
277,2014/03/31,2010/02/19,20,54,1.462917873,75651,20,28,26
278,2014/03/31,2009/12/09,20,68,0.676618926,163454,20,42,26
279,2014/03/31,2007/09/28,6,112,0.82046172,134757,6,67,45
280,2014/03/31,2008/10/12,13,73,0.6731207379999999,163958,13,42,31
281,2014/03/31,2007/06/12,38,49,1.368281891,80641,38,20,29
282,2014/03/31,2012/08/22,2,40,0.868515165,127004,2,15,25
283,2014/03/31,2005/03/16,5,82,0.81353969,135413,5,32,50
284,2014/03/31,2009/01/17,1,154,0.8481413309999999,129582,1,74,80
285,2014/03/31,2005/11/17,13,58,0.7557019559999999,145294,13,29,29
286,2014/03/31,2008/08/12,2,52,1.120337764,97731,2,29,23
287,2014/03/31,2010/11/10,8,43,1.388142957,78765,8,14,29
288,2014/03/31,2009/02/09,4,105,0.7888733920000001,138593,4,48,57
289,2014/03/31,2006/01/10,4,97,0.93836632,116461,4,48,49
290,2014/03/31,2010/06/09,112,17,0.896000164,121870,112,12,5
291,2014/03/31,2010/02/26,59,32,1.416159832,77106,59,15,17
292,2014/03/31,2010/05/31,5,37,0.914270784,119320,5,14,23
293,2014/03/31,2006/03/31,5,86,0.682643911,159612,5,48,38
294,2014/03/31,2012/03/17,13,62,0.778110575,139995,13,28,34
295,2014/03/31,2010/12/16,11,67,0.856602875,127081,11,27,40
296,2014/03/31,2006/06/29,8,84,0.837625235,129836,8,53,31
297,2014/03/31,2009/01/15,8,117,0.8163014759999999,132853,8,60,57
298,2014/03/31,2009/06/10,2,122,0.837572715,129272,2,55,67
299,2014/03/31,2006/05/04,24,87,0.82610529,131029,24,42,45
300,2014/03/31,2009/01/20,2,73,1.434756209,75413,2,38,35
301,2014/03/31,2005/09/09,8,97,0.949395993,113939,8,53,44
302,2014/03/31,2010/02/23,5,93,0.7180637,150612,5,36,57
303,2014/03/31,2010/02/23,8,83,0.8017396990000001,134621,8,39,44
304,2014/03/31,2010/09/15,11,105,0.7375951740000001,145865,11,41,64
305,2014/03/31,2007/12/28,56,27,0.654476682,164336,56,13,14
306,2014/03/31,2005/12/21,31,24,0.968107765,110964,31,10,14
307,2014/03/31,2006/04/06,2,137,0.874927107,122439,2,55,82
308,2014/03/31,2012/09/02,22,57,1.187537496,90144,22,18,39
309,2014/03/31,2009/12/05,7,50,1.201031476,89115,7,30,20
310,2014/03/31,2011/05/27,8,45,0.765013009,139898,8,23,22
311,2014/03/31,2011/10/17,1,109,0.877036239,122024,1,50,59
312,2014/03/31,2009/12/15,18,46,1.32374168,80830,18,23,23
313,2014/03/31,2008/07/22,17,77,0.763144213,139876,17,29,48
314,2014/03/31,2006/10/01,5,60,0.689844509,154736,5,28,32
315,2014/03/31,2012/06/12,6,66,0.705022823,151383,6,18,48
316,2014/03/31,2007/04/03,4,77,0.74088551,144030,4,30,47
317,2014/03/31,2006/03/04,16,77,1.325833583,80208,16,41,36
318,2014/03/31,2010/10/21,13,28,1.3789923219999998,77108,13,10,18
319,2014/03/31,2011/05/08,113,34,0.739229694,143761,113,16,18
320,2014/03/31,2007/06/11,9,62,0.751386294,141413,9,29,33
321,2014/03/31,2010/04/30,34,53,1.440717609,73717,34,21,32
322,2014/03/31,2011/09/18,4,37,1.4590118369999998,72741,4,17,20
323,2014/03/31,2007/02/10,65,94,0.839762709,126174,65,57,37
324,2014/03/31,2007/06/21,10,48,1.4236073969999998,74411,10,14,34
325,2014/03/31,2010/07/28,5,52,1.430674841,73647,5,26,26
326,2014/03/31,2011/05/11,1,52,0.776371777,135689,1,25,27
327,2014/03/31,2005/11/02,33,59,0.827179729,127314,33,35,24
328,2014/03/31,2008/02/26,9,72,0.705943112,149171,9,34,38
329,2014/03/31,2008/05/19,13,47,1.37078264,76753,13,25,22
330,2014/03/31,2004/11/23,9,107,0.619739087,169750,9,77,30
331,2014/03/31,2011/07/11,23,96,0.7718554670000001,136246,23,54,42
332,2014/03/31,2012/04/18,5,132,0.694012613,151273,5,68,64
333,2014/03/31,2011/01/19,2,168,0.8006591590000001,130985,2,76,92
334,2014/03/31,2011/12/05,17,49,0.837061811,125237,17,26,23
335,2014/03/31,2004/12/02,136,12,1.00799115,103960,136,7,5
336,2014/03/31,2006/12/06,13,36,0.954319431,109695,13,21,15
337,2014/03/31,2006/04/23,77,21,0.7606666670000001,137610,77,9,12
338,2014/03/31,2009/01/17,24,60,0.760252081,137654,24,37,23
339,2014/03/31,2004/11/26,33,84,0.8915401,117382,33,43,41
340,2014/03/31,2006/04/03,7,59,1.075326325,97219,7,19,40
341,2014/03/31,2006/04/16,1,118,0.746258043,139566,1,51,67
342,2014/03/31,2008/08/20,27,49,1.327684941,78417,27,32,17
343,2014/03/31,2012/08/28,4,74,0.91433425,113789,4,26,48
344,2014/03/31,2011/12/10,7,64,0.7440065220000001,139827,7,34,30
345,2014/03/31,2007/08/08,19,47,1.461826465,71121,19,26,21
346,2014/03/31,2006/11/08,1,46,1.462023883,71012,1,21,25
347,2014/03/31,2007/05/29,7,115,0.8967864,115562,7,55,60
348,2014/03/31,2010/10/02,13,28,1.434513512,72232,13,6,22
349,2014/03/31,2010/06/25,351,12,1.029644795,100421,351,11,1
350,2014/03/31,2006/07/23,8,65,1.107523948,93221,8,50,15
351,2014/03/31,2009/12/12,66,24,0.562442563,183418,66,16,8
352,2014/03/31,2008/08/08,4,50,0.7601155829999999,135574,4,14,36
353,2014/03/31,2007/04/25,5,98,0.728867305,141053,5,42,56
354,2014/03/31,2005/09/04,1,46,1.3989986090000002,73338,1,13,33
355,2014/03/31,2009/06/17,17,61,0.899280547,114031,17,28,33
356,2014/03/31,2011/11/10,84,28,1.238878525,82659,84,16,12
357,2014/03/31,2012/01/16,68,28,1.3861765419999998,73852,68,12,16
358,2014/03/31,2012/10/12,15,17,0.978310605,104641,15,5,12
359,2014/03/31,2006/05/18,1,51,1.416135816,72274,1,24,27
360,2014/03/31,2008/02/24,16,85,0.974864579,104969,16,48,37
361,2014/03/31,2006/01/25,2,128,0.69244581,147767,2,47,81
362,2014/03/31,2012/09/08,14,23,0.6506196479999999,157186,14,7,16
363,2014/03/31,2008/02/14,2,78,0.84343724,121231,2,43,35
364,2014/03/31,2009/01/05,1,67,0.754458243,135439,1,32,35
365,2014/03/31,2005/08/11,1,96,0.775295546,131739,1,39,57
366,2014/03/31,2011/04/03,20,118,0.7100688479999999,143796,20,71,47
367,2014/03/31,2012/07/15,48,86,0.792415925,128754,48,35,51
368,2014/03/31,2012/02/15,5,36,0.82250645,124032,5,17,19
369,2014/03/31,2009/07/01,83,10,1.025894957,99312,83,8,2
370,2014/03/31,2006/09/18,1,34,1.443316261,70486,1,12,22
371,2014/03/31,2006/07/21,2,23,1.357742091,74910,2,9,14
372,2014/03/31,2007/02/01,5,76,0.7315326879999999,138952,5,30,46
373,2014/03/31,2009/12/26,19,45,0.696498655,145724,19,7,38
374,2014/03/31,2005/08/15,18,111,0.697522309,145458,18,54,57
375,2014/03/31,2006/04/14,25,47,1.230913428,82382,25,24,23
376,2014/03/31,2006/01/30,1,84,1.337146213,75766,1,37,47
377,2014/03/31,2005/03/27,1,134,0.8674246959999999,116627,1,65,69
378,2014/03/31,2006/03/27,3,46,0.7711733270000001,130782,3,23,23
379,2014/03/31,2004/11/01,6,96,0.746628299,135009,6,43,53
380,2014/03/31,2011/01/03,94,16,0.936013465,107690,94,12,4
381,2014/03/31,2005/06/22,11,83,0.7554607959999999,133367,11,36,47
382,2014/03/31,2005/09/03,3,93,0.91579564,109943,3,54,39
383,2014/03/31,2011/07/01,6,13,0.632307692,159016,6,4,9
384,2014/03/31,2012/10/13,2,36,0.886428351,113253,2,7,29
385,2014/03/31,2006/04/28,11,73,0.810458452,123568,11,40,33
386,2014/03/31,2012/01/14,1,98,1.303309449,76759,1,28,70
387,2014/03/31,2006/05/05,3,116,0.7104835279999999,140571,3,54,62
388,2014/03/31,2005/04/26,17,61,1.230116011,81113,17,35,26
