,L,R,F,M,C,K
58,3380,15,55,153868,1.1460005979999999,A
59,3351,21,76,214921,0.819187329,A
60,3329,15,68,127335,1.380410335,A
61,3419,1,77,136121,1.2880183809999999,A
62,1391,6,84,186821,0.9380310559999999,A
63,1052,14,96,204612,0.848239546,B
64,1403,8,30,164001,1.0572572120000001,A
65,3152,19,85,121097,1.4261062619999998,B
66,2328,88,32,182563,0.9446501209999999,B
67,1360,19,34,170121,1.0136699759999999,B
68,1248,1,197,275800,0.620507614,B
69,1933,7,30,184194,0.928504294,A
70,593,62,18,209911,0.8118710790000001,A
71,1624,19,64,137636,1.236256939,A
72,831,4,149,219108,0.774487057,A
73,2325,13,61,143186,1.183962818,A
74,1265,36,36,209839,0.8061770690000001,A
75,1325,22,22,170406,0.992454374,A
76,381,29,23,169224,0.995539285,A
77,1026,18,16,163191,1.019520072,A
78,1252,8,102,140220,1.1793689920000001,A
79,3083,6,81,159255,1.034587737,B
80,640,6,30,208687,0.782406571,A
81,2818,12,127,170611,0.956332827,A
82,2019,2,56,116728,1.394863786,A
83,705,1,79,208797,0.777341772,A
84,3329,9,97,155881,1.036667137,A
85,3420,2,158,205159,0.784701427,A
86,2884,7,64,115300,1.3912993059999998,A
87,1367,13,51,137500,1.165835855,A
88,2468,144,29,157056,1.0178590440000002,B
89,2369,1,69,114077,1.3874902919999998,A
90,2117,15,88,122619,1.281481989,A
91,1155,15,42,162453,0.9660694479999999,A
92,2621,10,129,109813,1.429138536,A
93,2680,14,67,123464,1.265322199,A
94,1448,53,12,146784,1.059166667,A
95,3412,4,100,162250,0.952273652,A
96,3111,11,69,118726,1.297050351,A
97,1082,34,17,125349,1.226505277,A
98,3427,9,12,146784,1.046666667,B
99,703,4,54,144562,1.053910364,B
100,2072,21,79,123985,1.228445376,A
101,2030,5,87,105119,1.4454897780000002,A
102,702,17,53,144682,1.046215562,B
103,2644,17,92,134823,1.1183160890000001,A
104,1405,11,48,150537,1.001144569,A
105,3082,3,90,108184,1.390945611,A
106,1898,9,56,104663,1.435274261,A
107,3282,4,146,191328,0.7832398290000001,A
108,929,15,35,167150,0.894261083,B
109,904,63,33,174046,0.85318887,C
110,3139,7,142,177357,0.835532119,A
111,1230,44,31,204438,0.723434195,A
112,2680,29,53,102999,1.434114409,B
113,2496,14,21,159605,0.9251142509999999,A
114,662,27,16,195712,0.75375,A
115,3413,3,85,155704,0.9461749220000001,A
116,3414,22,71,119961,1.225504039,A
117,2046,2,130,167593,0.873661907,A
118,1424,4,89,149557,0.9780682279999999,A
119,3167,11,83,103087,1.411593411,A
120,3406,2,99,162215,0.8969661870000001,A
121,3302,27,40,198627,0.731685018,A
122,2131,11,52,99524,1.458000784,A
123,3014,10,65,119794,1.210876087,A
124,3264,3,34,151642,0.951756044,A
125,2786,6,83,149993,0.9607655690000001,A
126,868,24,65,109089,1.318943707,A
127,466,23,18,146238,0.982511386,A
128,2488,4,66,102689,1.39722054,A
129,2905,2,52,105167,1.3569867919999998,A
130,1112,38,27,182561,0.780547269,B
131,3408,1,193,209912,0.6756097790000001,B
132,643,6,65,184730,0.764,A
133,719,59,14,144708,0.97367319,B
134,1624,11,24,213058,0.658633893,A
135,1269,17,89,177556,0.787337009,A
136,2110,8,57,98104,1.42497258,A
137,1599,12,101,140188,0.996902945,A
138,393,16,19,155552,0.897522308,A
139,2832,24,95,140931,0.988949912,B
140,2190,7,85,97855,1.423453171,A
141,3414,22,108,169746,0.8176859540000001,B
142,3412,4,64,97250,1.426656247,A
143,3285,3,113,204853,0.6743815809999999,A
144,1677,1,31,95766,1.438600025,A
145,3057,5,79,129119,1.065611103,A
146,698,17,109,163010,0.843554751,A
147,1828,18,19,201613,0.681331859,B
148,1761,25,120,172352,0.7902875509999999,A
149,2907,1,45,116917,1.154155854,A
150,2519,135,19,136374,0.9889101290000001,C
151,1404,184,22,135717,0.993493225,B
152,1555,15,80,105118,1.277942503,A
153,2653,6,82,106666,1.255920537,A
154,1331,12,90,179472,0.744693267,A
155,1333,157,17,143287,0.9319913879999999,B
156,2754,9,39,97116,1.3747245559999999,C
157,2156,11,102,102961,1.295748779,A
158,3414,11,90,158149,0.8431856670000001,B
159,3355,7,125,176585,0.75433474,A
160,2609,23,77,94142,1.414713624,A
161,3401,6,79,157844,0.843179595,C
162,2699,13,116,165365,0.802227557,A
163,1167,15,58,91515,1.448642081,A
164,2808,8,109,144321,0.914492693,A
165,2821,9,180,182540,0.720028487,A
166,1538,1,103,218087,0.602317149,A
167,3358,8,107,155834,0.841613512,A
168,1097,121,14,125796,1.040394289,B
169,1508,2,149,155588,0.836742487,A
170,930,49,76,94185,1.3801774169999999,B
171,2606,3,55,94577,1.3695237740000001,B
172,922,4,80,92022,1.407186108,A
173,3354,16,40,139742,0.926317142,A
174,2997,7,142,183472,0.702883928,A
175,380,23,14,126850,1.016463224,A
176,1130,30,24,125340,1.026238631,A
177,1054,18,13,126495,1.014545871,A
178,2672,2,85,151736,0.843447435,A
179,3316,3,68,117537,1.085817147,A
180,3287,8,116,161730,0.786706177,B
181,721,2,123,89350,1.419099832,A
182,2553,17,47,91018,1.389867279,A
183,1331,95,14,123662,1.022610665,A
184,2841,107,49,90602,1.394936204,C
185,3230,2,86,157799,0.799002655,A
186,2233,11,60,106278,1.182681834,B
187,3172,4,110,166843,0.7509068409999999,B
188,1329,179,15,183480,0.681333333,C
189,3298,2,67,119347,1.046676247,B
190,1507,1,51,99034,1.259950118,A
191,1414,69,74,96520,1.289827497,B
192,1290,27,12,121632,1.023333333,B
193,1611,6,59,85171,1.461263576,A
194,1677,18,120,176951,0.701123814,A
195,2036,3,60,88428,1.40060309,A
196,2856,1,57,90553,1.3667442269999999,A
197,834,57,43,195034,0.631640227,A
198,2171,2,113,151060,0.81511929,A
199,3256,23,42,165589,0.743348652,A
200,3260,16,58,94554,1.299097235,B
201,3092,30,16,184227,0.66544855,A
202,3415,18,122,180074,0.68017726,A
203,3228,6,72,91164,1.343311285,A
204,1599,10,113,121394,1.008554047,A
205,3163,2,77,157206,0.7772353470000001,A
206,1934,10,57,91658,1.332451177,B
207,817,13,16,115401,1.057235119,A
208,1788,9,77,151637,0.803643702,A
209,3357,3,88,117157,1.039534044,A
210,2500,51,13,137604,0.884236795,C
211,3237,3,124,113615,1.0701947809999999,A
212,3056,31,69,147549,0.823818121,A
213,2225,1,66,86430,1.406350341,B
214,1216,102,26,178921,0.6793056709999999,C
215,1703,4,59,94946,1.273062688,A
216,2492,1,125,189177,0.6379945770000001,A
217,1843,11,97,171544,0.701652637,B
218,2987,3,57,144505,0.832500467,A
219,1182,5,64,262290,0.457967364,A
220,3384,114,49,88903,1.3509114430000002,C
221,2387,2,58,84353,1.423312271,A
222,3281,5,136,145540,0.82433441,A
223,1200,4,68,148879,0.8048453440000001,A
224,2240,4,71,180226,0.664729007,A
225,2707,16,116,130636,0.9163108940000001,B
226,2499,1,110,172640,0.6930268190000001,A
227,2079,12,105,145253,0.823284201,A
228,1854,21,52,83356,1.433468257,B
229,3210,3,106,167199,0.714441235,A
230,3270,178,11,112128,1.065035317,A
231,1433,13,59,92635,1.2839906079999999,B
232,2314,18,59,145433,0.817583423,A
233,2996,26,83,94441,1.2547285609999999,A
234,692,317,10,122320,0.966,C
235,2038,1,116,136228,0.8661216490000001,A
236,3268,2,95,138873,0.849043083,B
237,954,6,79,151183,0.7788971640000001,A
238,2925,7,76,86061,1.367977249,B
239,2452,1,100,91727,1.282347182,A
240,3418,1,107,165304,0.7108682190000001,A
241,2979,290,25,109336,1.074683178,C
242,2129,13,114,151625,0.774562836,A
243,1482,9,57,84080,1.3949203140000002,A
244,2638,22,76,119514,0.98076627,A
245,530,99,11,111496,1.05,A
246,2911,30,43,94144,1.240551283,A
247,1133,22,20,148827,0.7845195429999999,A
248,2479,32,53,85000,1.373478,A
249,3125,4,56,82981,1.403768453,A
250,915,2,84,140535,0.827823318,A
251,2207,6,111,141864,0.819703519,A
252,1036,18,109,126167,0.921339098,A
253,2951,5,60,98083,1.175007596,B
254,1345,3,61,161499,0.713012031,A
255,2041,9,43,93447,1.231469603,A
256,2671,5,149,157683,0.724336929,A
257,1258,4,43,111807,1.020765158,A
258,1436,83,56,114358,0.9958276640000001,B
259,3058,3,94,109142,1.0409337379999999,A
260,3135,13,84,139338,0.811427392,B
261,619,9,16,107047,1.051401627,A
262,2988,17,128,131315,0.856878118,A
263,2713,2,124,130776,0.8600265340000001,A
264,1158,4,111,130622,0.8591966129999999,A
265,1726,1,77,134838,0.832180765,A
266,2920,22,42,77936,1.4360421369999998,B
267,1610,1,124,160524,0.695089955,A
268,980,6,19,96503,1.156085303,A
269,1311,45,53,134627,0.828407972,B
270,1034,1,61,83245,1.337276713,A
271,1570,1,17,105377,1.0563960829999999,A
272,946,4,48,119036,0.9347252090000001,A
273,2726,22,26,94249,1.178456641,A
274,2942,31,43,79426,1.3955870869999998,A
275,1697,61,87,115134,0.962306964,A
276,1409,1,114,124499,0.889901525,A
277,1501,20,54,75651,1.462917873,A
278,1573,20,68,163454,0.676618926,B
279,2376,6,112,134757,0.82046172,B
280,1996,13,73,163958,0.6731207379999999,B
281,2484,38,49,80641,1.3682818909999999,A
282,586,2,40,127004,0.868515165,A
283,3302,5,82,135413,0.81353969,A
284,1899,1,154,129582,0.8481413309999999,A
285,3056,13,58,145294,0.7557019559999999,A
286,2057,2,52,97731,1.120337764,B
287,1237,8,43,78765,1.388142957,A
288,1876,4,105,138593,0.7888733920000001,A
289,3002,4,97,116461,0.93836632,A
290,1391,112,17,121870,0.896000164,C
291,1494,59,32,77106,1.416159832,A
292,1400,5,37,119320,0.9142707840000001,A
293,2922,5,86,159612,0.682643911,B
294,744,13,62,139995,0.778110575,A
295,1201,11,67,127081,0.856602875,A
296,2832,8,84,129836,0.837625235,B
297,1901,8,117,132853,0.8163014759999999,A
298,1755,2,122,129272,0.837572715,A
299,2888,24,87,131029,0.82610529,A
300,1896,2,73,75413,1.4347562090000001,A
301,3125,8,97,113939,0.949395993,B
302,1497,5,93,150612,0.7180637,A
303,1497,8,83,134621,0.8017396990000001,A
304,1293,11,105,145865,0.7375951740000001,A
305,2285,56,27,164336,0.654476682,A
306,3022,31,24,110964,0.968107765,A
307,2916,2,137,122439,0.874927107,A
308,575,22,57,90144,1.187537496,A
309,1577,7,50,89115,1.201031476,B
310,1039,8,45,139898,0.765013009,A
311,896,1,109,122024,0.877036239,A
312,1567,18,46,80830,1.32374168,A
313,2078,17,77,139876,0.763144213,A
314,2738,5,60,154736,0.689844509,A
315,657,6,66,151383,0.705022823,A
316,2554,4,77,144030,0.74088551,A
317,2949,16,77,80208,1.3258335829999999,B
318,1257,13,28,77108,1.3789923219999998,A
319,1058,113,34,143761,0.739229694,A
320,2485,9,62,141413,0.751386294,A
321,1431,34,53,73717,1.440717609,A
322,925,4,37,72741,1.4590118369999998,A
323,2606,65,94,126174,0.839762709,B
324,2475,10,48,74411,1.4236073969999998,A
325,1342,5,52,73647,1.4306748409999999,A
326,1055,1,52,135689,0.776371777,A
327,3071,33,59,127314,0.827179729,B
328,2225,9,72,149171,0.705943112,A
329,2142,13,47,76753,1.37078264,B
330,3415,9,107,169750,0.619739087,C
331,994,23,96,136246,0.7718554670000001,B
332,712,5,132,151273,0.694012613,A
333,1167,2,168,130985,0.8006591590000001,A
334,847,17,49,125237,0.837061811,B
335,3406,136,12,103960,1.00799115,B
336,2672,13,36,109695,0.9543194309999999,B
337,2899,77,21,137610,0.7606666670000001,A
338,1899,24,60,137654,0.760252081,B
339,3412,33,84,117382,0.8915401,A
340,2919,7,59,97219,1.075326325,A
341,2906,1,118,139566,0.746258043,A
342,2049,27,49,78417,1.327684941,B
343,580,4,74,113789,0.91433425,A
344,842,7,64,139827,0.7440065220000001,B
345,2427,19,47,71121,1.461826465,B
346,2700,1,46,71012,1.462023883,A
347,2498,7,115,115562,0.8967864,A
348,1276,13,28,72232,1.4345135119999999,A
349,1375,351,12,100421,1.029644795,C
350,2808,8,65,93221,1.1075239479999999,C
351,1570,66,24,183418,0.562442563,C
352,2061,4,50,135574,0.7601155829999999,A
353,2532,5,98,141053,0.728867305,A
354,3130,1,46,73338,1.3989986090000002,A
355,1748,17,61,114031,0.899280547,A
356,872,84,28,82659,1.238878525,B
357,805,68,28,73852,1.3861765419999998,A
358,535,15,17,104641,0.978310605,A
359,2874,1,51,72274,1.416135816,A
360,2227,16,85,104969,0.974864579,B
361,2987,2,128,147767,0.69244581,A
362,569,14,23,157186,0.6506196479999999,A
363,2237,2,78,121231,0.84343724,B
364,1911,1,67,135439,0.754458243,A
365,3154,1,96,131739,0.775295546,A
366,1093,20,118,143796,0.7100688479999999,B
367,624,48,86,128754,0.792415925,A
368,775,5,36,124032,0.82250645,A
369,1734,83,10,99312,1.025894957,C
370,2751,1,34,70486,1.4433162609999999,A
371,2810,2,23,74910,1.357742091,A
372,2615,5,76,138952,0.7315326879999999,A
373,1556,19,45,145724,0.696498655,A
374,3150,18,111,145458,0.697522309,A
375,2908,25,47,82382,1.230913428,A
376,2982,1,84,75766,1.337146213,A
377,3291,1,134,116627,0.8674246959999999,A
378,2926,3,46,130782,0.7711733270000001,A
379,3437,6,96,135009,0.746628299,A
380,1183,94,16,107690,0.936013465,C
381,3204,11,83,133367,0.7554607959999999,A
382,3131,3,93,109943,0.91579564,B
383,1004,6,13,159016,0.632307692,A
384,534,2,36,113253,0.886428351,A
385,2894,11,73,123568,0.810458452,B
386,807,1,98,76759,1.3033094490000001,A
387,2887,3,116,140571,0.7104835279999999,A
388,3261,17,61,81113,1.230116011,B
389,1351,13,85,70965,1.401901923,A
390,2511,10,48,68459,1.453157218,A
391,2357,6,104,137698,0.7217528940000001,A
392,2873,12,57,84129,1.179321043,A
393,2909,9,43,130985,0.757415506,A
394,1130,12,101,117880,0.841051069,B
395,2344,2,69,141164,0.7021256840000001,A
396,2343,5,71,70069,1.413737887,A
397,1910,5,124,118049,0.837548052,A
398,2327,18,86,89195,1.10819519,A
399,2474,12,82,120536,0.8186665390000001,A
400,1120,1,122,137879,0.7144708040000001,A
401,667,20,18,136876,0.718332944,A
402,3338,22,39,70792,1.3874498530000001,C
403,1369,4,83,112709,0.870657357,A
404,2490,1,81,99888,0.982403492,A
405,2015,34,66,111545,0.8786453000000002,B
406,3302,41,46,71622,1.365195471,B
407,2404,3,75,131146,0.745084105,B
408,3349,79,69,126180,0.7741921070000001,C
409,1670,10,45,68136,1.432941764,A
410,2463,4,36,66829,1.4604936480000001,A
411,3406,1,106,130691,0.7464892759999999,A
412,1386,19,64,66612,1.464381643,C
413,942,6,61,132797,0.7340983609999999,A
414,582,1,67,123556,0.788739195,A
415,2903,30,52,125190,0.778333174,B
416,1106,13,21,138363,0.704172358,A
417,925,9,100,116315,0.8364075999999999,A
418,2201,1,119,100147,0.9713272490000001,A
419,3320,20,79,74503,1.305487564,A
420,1677,4,101,118160,0.822947613,A
421,3125,5,116,129478,0.750052132,A
422,1087,85,42,74368,1.3036952720000001,C
423,3278,3,82,126149,0.7679306220000001,B
424,3097,11,96,134194,0.72174598,A
425,2041,11,79,124218,0.779597965,A
426,2936,4,133,143216,0.675632052,A
427,1863,15,73,134897,0.7170868140000001,B
428,2925,1,58,122349,0.7904340040000001,A
429,2015,135,19,130168,0.7423071720000001,B
430,435,1,62,76356,1.265360941,A
431,2326,5,46,67761,1.425841856,B
432,1033,16,38,66550,1.450518407,B
433,1349,23,65,112320,0.858959758,A
434,479,13,15,99645,0.9681668920000001,A
435,1404,2,93,127824,0.754275019,B
436,1988,6,13,147883,0.6511630820000001,A
437,2310,4,60,118514,0.811934708,A
438,1283,2,93,117159,0.82114127,A
439,857,15,83,134851,0.712543548,A
440,646,16,44,108388,0.8862730190000001,A
441,3126,8,62,112125,0.855358305,A
442,1237,2,89,78410,1.221743017,A
443,3318,2,78,121245,0.789605839,A
444,2540,26,39,70142,1.3639718,A
445,1660,14,101,102834,0.9299381529999999,A
446,1549,17,44,65769,1.452790676,A
447,1678,32,31,69453,1.375394871,A
448,1720,7,75,122158,0.781846052,B
449,2484,18,93,106705,0.894763601,A
450,1460,20,54,71496,1.33526505,B
451,3114,18,73,76834,1.2420329540000001,C
452,3281,2,70,98334,0.969874916,A
453,2209,14,36,102876,0.9265317470000001,A
454,2272,5,45,67936,1.4012784090000001,A
455,1992,14,97,66431,1.4327861990000001,A
456,1623,10,107,132823,0.715139321,A
457,2219,8,123,111589,0.8507229209999999,A
458,968,29,38,67361,1.408719882,A
459,2538,13,98,129338,0.7335678609999999,A
460,2428,7,33,65345,1.4518301319999998,A
461,1969,6,39,68043,1.393603751,B
462,1288,8,72,73670,1.286411022,A
463,1264,6,83,126476,0.7490311209999999,A
464,3313,4,66,121756,0.7776507109999999,B
465,2195,37,46,120983,0.78231049,A
466,3426,9,65,102504,0.9232600679999999,A
467,2517,5,99,123899,0.763360156,A
468,1849,4,54,64453,1.463962112,B
469,2576,16,65,107397,0.8783021870000001,A
470,2868,243,27,100143,0.941445133,C
471,1884,21,36,72186,1.302530408,B
472,955,20,61,71752,1.3061068679999999,A
473,2698,32,49,65717,1.425973949,B
474,2114,3,46,71260,1.3145343809999999,A
475,2221,6,103,125149,0.7469010540000001,A
476,2479,73,52,76072,1.228696235,B
477,562,9,36,68799,1.35804096,A
478,1715,12,37,66530,1.4023350369999998,A
479,3071,14,100,64900,1.4373,A
480,2387,7,51,87589,1.06409081,B
481,2653,12,69,125139,0.742781227,A
482,643,8,82,109233,0.8508076309999999,A
483,527,17,13,95577,0.9717373429999999,A
484,1130,25,65,74458,1.246913025,A
485,712,5,45,74389,1.247410235,A
486,2590,2,118,137477,0.67473221,A
487,2154,11,75,127816,0.7257207240000001,A
488,1046,1,56,117444,0.789488352,A
489,2576,6,73,128233,0.720501275,A
490,1261,17,66,82682,1.1168940040000002,C
491,1003,6,21,139888,0.660121097,A
492,2079,4,78,114244,0.8077245190000001,A
493,2129,2,90,122350,0.753979567,A
494,3434,8,80,120362,0.766244247,B
495,768,85,20,121103,0.761441087,B
496,3373,31,80,117968,0.781219907,B
497,3359,34,95,104659,0.87833354,C
498,2714,2,99,117708,0.7805520440000001,A
499,2574,17,90,128188,0.716619964,A
500,2465,1,33,63453,1.447113927,B
501,3225,12,73,110537,0.8304361440000001,B
502,2869,18,127,124500,0.7372848190000001,A
503,1002,158,83,114627,0.8003160690000001,C
504,827,8,27,90731,1.010241814,A
505,1467,1,97,149015,0.614937825,A
506,2860,7,77,104572,0.875997495,A
507,1562,65,19,86805,1.053728357,A
508,2633,41,13,125853,0.72670131,A
509,3301,1,139,129859,0.703798197,A
510,3188,6,86,113677,0.803908618,A
511,3234,2,82,123788,0.7376269109999999,A
512,2856,31,41,91797,0.9943289000000001,A
513,1601,2,72,120888,0.7550119120000001,B
514,3299,11,82,116502,0.782969391,A
515,737,4,83,66764,1.36549308,A
516,3021,14,92,103985,0.8751388179999999,B
517,2849,25,49,98732,0.9204995340000001,C
518,3427,10,74,126274,0.719323851,A
519,1386,4,78,106195,0.854748717,A
520,2380,9,49,105720,0.858548997,A
521,1665,29,44,69154,1.311839518,A
522,2587,13,26,103395,0.8757814209999999,A
523,3427,2,85,124022,0.729566125,A
524,1238,5,49,62116,1.454720362,A
525,3137,5,69,105755,0.854199991,A
526,505,8,53,114734,0.7872666340000001,A
527,1999,67,11,134552,0.6709090910000001,A
528,2923,10,55,117957,0.76517731,B
529,3386,14,39,63230,1.4274219519999998,A
530,1971,34,18,124386,0.725114241,A
531,1808,22,63,137264,0.656078433,B
532,1549,181,23,169931,0.529890073,C
533,995,13,55,103869,0.8668173370000001,A
534,729,24,36,112436,0.7999573090000001,B
535,2930,8,43,69158,1.299686515,C
536,1491,2,59,78595,1.142706025,C
537,729,4,69,98267,0.913754872,A
538,930,27,77,149556,0.600361671,A
539,2018,21,75,113205,0.793122565,A
540,3111,14,89,98446,0.911670561,A
541,1068,1,51,71594,1.251371344,A
542,2465,65,15,84976,1.0531992559999999,B
543,2883,10,51,121900,0.7337164890000001,A
544,3228,13,63,84110,1.062971704,B
545,3177,3,67,114895,0.77813186,A
546,3214,58,35,102698,0.869739722,A
547,1704,3,31,112940,0.789749247,B
548,851,4,63,131617,0.677294726,A
549,2519,1,95,112565,0.7918911740000001,A
550,3025,13,97,111809,0.7958487240000001,B
551,2623,9,67,124788,0.712584784,B
552,3018,2,101,119673,0.742826118,A
553,1485,21,60,131743,0.6731966779999999,A
554,1176,38,12,121632,0.7283333329999999,A
555,1320,3,48,63061,1.4044699580000002,C
556,1076,3,52,62006,1.427972616,A
557,1668,9,11,80261,1.09967805,C
558,2947,2,92,108930,0.8101632240000001,A
559,2925,1,67,116848,0.754195707,B
560,2685,6,47,68720,1.280616269,A
561,2800,46,109,144111,0.61047623,A
562,2907,12,82,135759,0.6466828720000001,A
563,2856,21,68,107075,0.819026757,A
564,770,16,79,113061,0.775295725,A
565,702,11,74,119277,0.734588563,B
566,2866,113,31,59830,1.463755474,B
567,674,8,34,87326,1.0018575220000001,A
568,2632,3,74,126760,0.690051909,B
569,612,7,7,85624,1.021428571,A
570,1840,93,36,118329,0.739067177,B
571,628,9,43,71368,1.224596738,A
572,1551,36,106,128750,0.678582369,B
573,2036,3,89,106167,0.82264602,A
574,1465,104,62,89752,0.9725639540000001,A
575,1619,11,36,63184,1.380619144,A
576,703,12,51,118422,0.73627451,A
577,2968,5,69,119146,0.731558088,A
578,3366,1,84,90564,0.962312287,A
579,3030,5,68,109665,0.794431222,A
580,2555,3,20,113068,0.7694140690000001,A
581,1173,89,27,106399,0.8167115290000001,C
582,2344,2,64,114718,0.757229554,B
583,3271,7,113,147384,0.589203374,A
584,2355,2,40,60149,1.4430294769999998,A
585,2993,2,80,138420,0.624723523,A
586,2063,41,53,113194,0.76250826,B
587,1672,1,109,123276,0.700098478,A
588,1352,4,70,112890,0.764457525,B
589,1594,9,35,62808,1.37325484,C
590,839,29,34,65969,1.307116221,A
591,1902,27,88,110192,0.782405619,B
592,1622,10,101,104916,0.821220119,A
593,2615,15,44,123585,0.697107982,B
594,2495,1,57,124821,0.6901963609999999,A
595,1321,11,43,70258,1.2256450509999999,A
596,1219,4,57,101773,0.846069291,A
597,2349,11,82,121881,0.705870234,B
598,1655,23,69,94964,0.9038699929999999,C
599,1500,44,63,102801,0.833366699,A
600,706,230,12,84488,1.013213001,C
601,1261,17,69,99590,0.8593490309999999,A
602,2449,4,88,92775,0.922312153,A
603,758,3,59,133334,0.6414616679999999,A
604,2911,10,40,133403,0.640861525,A
605,1926,86,13,113580,0.752468392,A
606,3252,11,68,119701,0.7120725809999999,A
607,1218,3,69,119959,0.7104411509999999,A
608,680,4,38,63749,1.335886053,A
609,2944,18,97,95578,0.8904420470000001,B
610,3287,34,13,96745,0.8791565459999999,A
611,1204,3,84,124877,0.680674344,A
612,2197,79,33,60566,1.400179804,A
613,2380,25,61,129994,0.652295875,A
614,2479,17,87,114443,0.740124516,A
615,1995,13,17,105518,0.80243475,A
616,2997,3,62,104351,0.810345085,B
617,2337,2,79,102926,0.8209831340000001,A
618,2191,85,58,94188,0.896582367,A
619,2303,48,26,126699,0.666378424,B
620,952,2,82,120396,0.7009850000000001,B
621,2723,7,94,110837,0.761320588,A
622,688,15,43,88958,0.9478419029999999,A
623,3258,9,49,82626,1.019422095,A
624,2423,11,32,87009,0.967861715,B
625,1095,4,82,119037,0.706153885,A
626,1333,22,62,101808,0.824876139,B
627,689,18,67,95683,0.877645872,A
628,1721,30,81,103927,0.807743897,A
629,3189,7,86,105952,0.7913474970000001,B
630,2555,102,6,73392,1.141666667,A
631,1272,69,9,91224,0.9177777779999999,A
632,1663,4,63,102466,0.81701218,A
633,3421,66,38,124410,0.672776465,A
634,1369,2,40,63801,1.311356405,A
635,3084,9,73,120191,0.695825062,A
636,2595,15,71,107032,0.78021629,B
637,1626,1,74,86299,0.967311788,A
638,710,103,45,83894,0.995006913,B
639,2134,1,127,131400,0.635267428,A
640,2348,4,86,130146,0.641211101,A
641,1673,29,58,114424,0.728744669,A
642,1048,3,69,101139,0.82410712,A
643,2833,43,38,78846,1.056982345,B
644,2032,19,78,115093,0.723989122,A
645,3013,68,16,96627,0.862176721,A
646,2556,163,37,58302,1.428155295,B
647,2457,5,76,116724,0.7130119770000001,A
648,1904,2,44,67601,1.230681203,B
649,3307,3,99,87395,0.9514648440000001,A
650,808,14,51,61100,1.3578358430000002,B
651,2029,5,66,114482,0.722954875,A
652,2820,5,77,94084,0.879383317,A
653,2468,2,106,104750,0.78942673,A
654,681,1,94,130742,0.632198528,A
655,1039,27,89,109773,0.7526219559999999,A
656,675,37,11,101908,0.8100533809999999,B
657,2271,17,19,114608,0.7193145329999999,A
658,1074,7,57,87522,0.941829369,A
659,1091,18,65,110131,0.747842479,A
660,668,76,25,58213,1.413954787,A
661,3074,26,51,57992,1.418412885,A
662,760,19,54,77707,1.057823619,A
663,2020,46,13,118818,0.691331701,B
664,739,7,72,65267,1.25802427,A
665,2017,2,93,118300,0.693748774,A
666,1412,27,31,60318,1.35912265,A
667,2672,4,78,99566,0.8228736720000001,A
668,2141,4,96,123933,0.661020551,A
669,2049,20,58,99952,0.81945874,B
670,663,8,85,115207,0.710912445,A
671,2862,5,65,92722,0.883145532,A
672,3345,4,85,124859,0.65577155,A
